Titel,År,Regi,Land,Genre,Längd,Skådespelare,Producent,Musik,Specialeffekter,Recension,Sökväg,Mitt Betyg,Disk 1,DIsk 2
Nightmare Beach,1989,Umberto Lenzi,Italien/USA,Skräck/Slasher,90 min,Nicolas De Toth,-,Claudio Simonetti,-,[Recension](https://www.google.com/search?q=Nightmare+Beach+1989+review),Europa\Italien Spanien,,,
Opera,1987,Dario Argento,Italien,Skräck/Thriller,107 min,Cristina Marsillach,Dario Argento,Claudio Simonetti,Sergio Stivaletti,[Recension](https://www.google.com/search?q=Opera+1987+Argento+review),Europa\Italien Spanien,,,
Paganini Horror,1989,Luigi Cozzi,Italien,Skräck,82 min,Donald Pleasence,-,Luigi Cozzi,-,[Recension](https://www.google.com/search?q=Paganini+Horror+1989+review),Europa\Italien Spanien,,,
Piranha II: The Spawning,1981,James Cameron,Italien/USA,Skräck,94 min,Tricia O'Neil,Ovidio G. Assonitis,Stelvio Cipriani,-,[Recension](https://www.google.com/search?q=Piranha+II+The+Spawning+review),Europa\Italien Spanien,,,
Planet of the Vampires,1965,Mario Bava,Italien/Spanien,Sci-Fi/Skräck,86 min,Barry Sullivan,Fulvio Lucisano,Gino Marinuzzi Jr.,-,[Recension](https://www.google.com/search?q=Planet+of+the+Vampires+review),Europa\Italien Spanien,,,
Plankton (Creatures from the Abyss),1994,Alvaro Passeri,Italien,Skräck/Sci-Fi,90 min,Kevin Spirtas,-,-,-,[Recension](https://www.google.com/search?q=Plankton+Creatures+from+the+Abyss+review),Europa\Italien Spanien,,,
Primal Rage,1988,Vittorio Rambaldi,Italien/USA,Skräck,91 min,Patrick Lowe,Vittorio Rambaldi,Claudio Simonetti,-,[Recension](https://www.google.com/search?q=Primal+Rage+1988+movie+review),Europa\Italien Spanien,,,
Deep Red (Profondo Rosso),1975,Dario Argento,Italien,Mysterium/Thriller,127 min,David Hemmings,Salvatore Argento,Goblin,-,[Recension](https://www.google.com/search?q=Deep+Red+Profondo+Rosso+review),Europa\Italien Spanien,,,
Return of the Evil Dead (El ataque de los muertos sin ojos),1973,Amando de Ossorio,Spanien,Skräck,91 min,Tony Kendall,-,Antón García Abril,-,[Recension](https://www.google.com/search?q=Return+of+the+Evil+Dead+1973+review),Europa\Italien Spanien,,,
Santa Sangre,1989,Alejandro Jodorowsky,Mexiko/Italien,Skräck/Drama,123 min,Axel Jodorowsky,Claudio Argento,Simon Boswell,-,[Recension](https://www.google.com/search?q=Santa+Sangre+1989+review),Europa\Italien Spanien,,,
She,1965,Robert Day,Storbritannien,Äventyr/Fantasy,106 min,"Ursula Andress, Peter Cushing",Michael Carreras,James Bernard,-,[Recension](https://www.google.com/search?q=She+1965+movie+review),Europa\Italien Spanien,,,
Short Night of Glass Dolls,1971,Aldo Lado,Italien/Västtyskland,Mysterium/Thriller,92 min,Jean Sorel,Enzo Doria,Ennio Morricone,-,[Recension](https://www.google.com/search?q=Short+Night+of+Glass+Dolls+review),Europa\Italien Spanien,,,
Sister Death (Hermana Muerte),2023,Paco Plaza,Spanien,Skräck,91 min,Aria Bedmar,-,Mikel Salas,-,[Recension](https://www.google.com/search?q=Sister+Death+2023+review),Europa\Italien Spanien,,,
The Mountain of the Cannibal God,1978,Sergio Martino,Italien,Äventyr/Skräck,99 min,"Ursula Andress, Stacy Keach",Luciano Martino,Guido De Angelis,-,[Recension](https://www.google.com/search?q=Mountain+of+the+Cannibal+God+review),Europa\Italien Spanien,,,
Slugs,1988,Juan Piquer Simón,Spanien/USA,Skräck,92 min,Michael Garfield,Francesca DeLaurentiis,Simon Akam,-,[Recension](https://www.google.com/search?q=Slugs+1988+movie+review),Europa\Italien Spanien,,,
Someone Behind the Door,1971,Nicolas Gessner,Frankrike/Italien,Thriller/Krim,97 min,"Charles Bronson, Anthony Perkins",-,Georges Garvarentz,-,[Recension](https://www.google.com/search?q=Someone+Behind+the+Door+1971+review),Europa\Italien Spanien,,,
Specters,1987,Marcello Avallone,Italien,Skräck,93 min,Donald Pleasence,-,-,-,[Recension](https://www.google.com/search?q=Specters+1987+movie+review),Europa\Italien Spanien,,,
Stagefright (Deldiria),1987,Michele Soavi,Italien,Skräck/Slasher,90 min,David Brandon,Donatella Palermo,Simon Boswell,-,[Recension](https://www.google.com/search?q=Stagefright+1987+movie+review),Europa\Italien Spanien,,,
Strip Nude for Your Killer,1975,Andrea Bianchi,Italien,Mysterium/Thriller,100 min,Edwige Fenech,-,Berto Pisano,-,[Recension](https://www.google.com/search?q=Strip+Nude+for+Your+Killer+review),Europa\Italien Spanien,,,
Suspiria (4K 1977),1977,Dario Argento,Italien,Skräck,92 min,Jessica Harper,Claudio Argento,Goblin,-,[Recension](https://www.google.com/search?q=Suspiria+1977+review),Europa\Italien Spanien,,,
Suspiria (4K 2018),2018,Luca Guadagnino,USA/Italien,Skräck/Drama,152 min,Dakota Johnson,Marco Morabito,Thom Yorke,-,[Recension](https://www.google.com/search?q=Suspiria+2018+review),Europa\Italien Spanien,,,
Suspiria,1977,Dario Argento,Italien,Skräck,92 min,Jessica Harper,Claudio Argento,Goblin,-,[Recension](https://www.google.com/search?q=Suspiria+1977+review),Europa\Italien Spanien,,,
Suspiria,2018,Luca Guadagnino,USA/Italien,Skräck/Drama,152 min,Dakota Johnson,Marco Morabito,Thom Yorke,-,[Recension](https://www.google.com/search?q=Suspiria+2018+review),Europa\Italien Spanien,,,
Sweets from a Stranger,1987,Franco Ferrini,Italien,Thriller/Krim,94 min,-,-,-,-,[Recension](https://www.google.com/search?q=Sweets+from+a+Stranger+1987+review),Europa\Italien Spanien,,,
Tenebre,1982,Dario Argento,Italien,Mysterium/Thriller,110 min,Anthony Franciosa,Claudio Argento,Claudio Simonetti,-,[Recension](https://www.google.com/search?q=Tenebre+1982+review),Europa\Italien Spanien,,,
Tentacles,1977,Ovidio G. Assonitis,Italien/USA,Skräck,102 min,"John Huston, Shelley Winters",E.F. Doria,Stelvio Cipriani,-,[Recension](https://www.google.com/search?q=Tentacles+1977+movie+review),Europa\Italien Spanien,,,
The Antichrist (The Tempter),1974,Alberto De Martino,Italien,Skräck,112 min,Carla Gravina,-,Ennio Morricone,-,[Recension](https://www.google.com/search?q=The+Antichrist+1974+review),Europa\Italien Spanien,,,
The Awful Dr. Orlof,1962,Jesús Franco,Spanien/Frankrike,Skräck,88 min,Howard Vernon,-,Paul Piénot,-,[Recension](https://www.google.com/search?q=The+Awful+Dr+Orlof+1962+review),Europa\Italien Spanien,,,
The Beyond,1981,Lucio Fulci,Italien,Skräck,87 min,Catriona MacColl,Fabrizio De Angelis,Fabio Frizzi,Giannetto De Rossi,[Recension](https://www.google.com/search?q=The+Beyond+1981+review),Europa\Italien Spanien,,,
The Bird with the Crystal Plumage,1970,Dario Argento,Italien,Mysterium/Thriller,96 min,Tony Musante,Salvatore Argento,Ennio Morricone,-,[Recension](https://www.google.com/search?q=Bird+with+Crystal+Plumage+review),Europa\Italien Spanien,,,
The Black Cat,1981,Lucio Fulci,Italien,Skräck,92 min,Patrick Magee,-,Pino Donaggio,-,[Recension](https://www.google.com/search?q=The+Black+Cat+1981+Fulci+review),Europa\Italien Spanien,,,
The Case of the Bloody Iris,1972,Giuliano Carnimeo,Italien,Mysterium/Thriller,95 min,Edwige Fenech,-,Bruno Nicolai,-,[Recension](https://www.google.com/search?q=The+Case+of+the+Bloody+Iris+review),Europa\Italien Spanien,,,
The Cat o' Nine Tails,1971,Dario Argento,Italien,Mysterium/Thriller,112 min,"Karl Malden, James Franciscus",Salvatore Argento,Ennio Morricone,-,[Recension](https://www.google.com/search?q=Cat+o+Nine+Tails+review),Europa\Italien Spanien,,,
The Chosen (Holocaust 2000),1977,Alberto De Martino,Italien/Storbritannien,Skräck/Sci-Fi,105 min,Kirk Douglas,-,Ennio Morricone,-,[Recension](https://www.google.com/search?q=The+Chosen+Holocaust+2000+review),Europa\Italien Spanien,,,
The Church,1989,Michele Soavi,Italien,Skräck,102 min,Hugh Quarshie,Dario Argento,Keith Emerson,Sergio Stivaletti,[Recension](https://www.google.com/search?q=The+Church+1989+movie+review),Europa\Italien Spanien,,,
The Devil's Honey (Il miele del diavolo),1986,Lucio Fulci,Italien,Drama/Thriller,93 min,Brett Halsey,Vincenzo Salviani,Claudio Simonetti,-,[Recension](https://www.google.com/search?q=Devils+Honey+1986+review),Europa\Italien Spanien,,,
The Great Alligator River,1979,Sergio Martino,Italien,Action/Äventyr,89 min,Barbara Bach,Luciano Martino,Stelvio Cipriani,-,[Recension](https://www.google.com/search?q=Great+Alligator+River+1979+review),Europa\Italien Spanien,,,
The Hanging Woman (La orgía de los muertos),1973,José Luis Merino,Spanien/Italien,Skräck,90 min,Stelvio Rosi,-,-,-,[Recension](https://www.google.com/search?q=The+Hanging+Woman+1973+review),Europa\Italien Spanien,,,
The Holy Mountain,1973,Alejandro Jodorowsky,Mexiko,Fantasy/Drama,114 min,Alejandro Jodorowsky,Allen Klein,-,-,[Recension](https://www.google.com/search?q=The+Holy+Mountain+1973+review),Europa\Italien Spanien,,,
The Horrible Dr. Hichcock,1962,Riccardo Freda,Italien,Skräck,88 min,Barbara Steele,-,Roman Vlad,-,[Recension](https://www.google.com/search?q=Horrible+Dr+Hichcock+1962+review),Europa\Italien Spanien,,,
The Horrible Dr. Hichcock (Special Edition),1962,Riccardo Freda,Italien,Skräck,88 min,Barbara Steele,-,Roman Vlad,-,[Recension](https://www.google.com/search?q=Horrible+Dr+Hichcock+1962+review),Europa\Italien Spanien,,,
The House by the Cemetery (Quella villa accanto al cimitero),1981,Lucio Fulci,Italien,Skräck,87 min,Catriona MacColl,Fabrizio De Angelis,Walter Rizzati,-,[Recension](https://www.google.com/search?q=House+by+the+Cemetery+1981+review),Europa\Italien Spanien,,,
Island of the Fishmen (L'isola degli uomini pesce),1979,Sergio Martino,Italien,Äventyr/Skräck,99 min,Barbara Bach,Luciano Martino,Luciano Michelini,-,[Recension](https://www.google.com/search?q=Island+of+the+Fishmen+1979+review),Europa\Italien Spanien,,,
The New York Ripper (Lo squartatore di New York),1982,Lucio Fulci,Italien,Skräck/Thriller,93 min,Jack Hedley,Fabrizio De Angelis,Francesco De Masi,-,[Recension](https://www.google.com/search?q=New+York+Ripper+1982+review),Europa\Italien Spanien,,,
The Red Queen Kills Seven Times,1972,Emilio Miraglia,Italien/Västtyskland/Monaco,Mysterium/Thriller,99 min,Barbara Bouchet,-,Bruno Nicolai,-,[Recension](https://www.google.com/search?q=Red+Queen+Kills+Seven+Times+review),Europa\Italien Spanien,,,
Return of the Evil Dead,1973,Amando de Ossorio,Spanien,Skräck,91 min,Tony Kendall,-,-,-,[Recension](https://www.google.com/search?q=Return+of+the+Evil+Dead+1973+review),Europa\Italien Spanien,,,
The Sect (La setta),1991,Michele Soavi,Italien,Skräck,116 min,Kelly Curtis,Dario Argento,Pino Donaggio,-,[Recension](https://www.google.com/search?q=The+Sect+1991+movie+review),Europa\Italien Spanien,,,
The Spider Labyrinth (Il nido del ragno),1988,Gianfranco Giagni,Italien,Skräck/Mysterium,94 min,Roland Wybenga,Domenico Paolella,Franco Piersanti,-,[Recension](https://www.google.com/search?q=The+Spider+Labyrinth+1988+review),Europa\Italien Spanien,,,
The Visitor,1979,Giulio Paradisi,Italien/USA,Sci-Fi/Skräck,101 min,"Mel Ferrer, John Huston",Ovidio G. Assonitis,Franco Micalizzi,-,[Recension](https://www.google.com/search?q=The+Visitor+1979+movie+review),Europa\Italien Spanien,,,
The House with Laughing Windows,1976,Pupi Avati,Italien,Mysterium/Thriller,110 min,Lino Capolicchio,Antonio Avati,Amedeo Tommasi,-,[Recension](https://www.google.com/search?q=House+with+Laughing+Windows+review),Europa\Italien Spanien,,,
The Orphanage (El orfanato),2007,J.A. Bayona,Spanien/Mexiko,Skräck/Mysterium,105 min,Belén Rueda,Guillermo del Toro,Fernando Velázquez,-,[Recension](https://www.google.com/search?q=The+Orphanage+2007+review),Europa\Italien Spanien,,,
The Phantom of the Opera,1998,Dario Argento,Italien,Skräck/Drama,99 min,Julian Sands,Claudio Argento,Ennio Morricone,Sergio Stivaletti,[Recension](https://www.google.com/search?q=Phantom+of+the+Opera+1998+Argento+review),Europa\Italien Spanien,,,
The Wax Mask (M.D.C. - Maschera di cera),1997,Sergio Stivaletti,Italien/Frankrike,Skräck,98 min,Robert Hossein,Dario Argento,Maurizio Abeni,Sergio Stivaletti,[Recension](https://www.google.com/search?q=The+Wax+Mask+1997+review),Europa\Italien Spanien,,,
Tintorera,1977,René Cardona Jr.,Mexiko/Storbritannien,Skräck/Äventyr,126 min,Susan George,-,Basil Poledouris,-,[Recension](https://www.google.com/search?q=Tintorera+1977+movie+review),Europa\Italien Spanien,,,
Tombs of the Blind Dead (La noche de terror ciego),1972,Amando de Ossorio,Spanien/Portugal,Skräck,101 min,Lone Fleming,-,-,-,[Recension](https://www.google.com/search?q=Tombs+of+the+Blind+Dead+review),Europa\Italien Spanien,,,
Too Beautiful to Die (Sotto il vestito niente II),1988,Dario Piana,Italien,Thriller/Krim,103 min,Florence Guérin,-,Simon Boswell,-,[Recension](https://www.google.com/search?q=Too+Beautiful+to+Die+1988+review),Europa\Italien Spanien,,,
Trauma,1993,Dario Argento,Italien/USA,Skräck/Thriller,106 min,Asia Argento,Dario Argento,Pino Donaggio,-,[Recension](https://www.google.com/search?q=Trauma+1993+Argento+review),Europa\Italien Spanien,,,
Trauma,2017,Lucio A. Rojas,Chile,Skräck/Thriller,110 min,Catalina Martin,-,-,-,[Recension](https://www.google.com/search?q=Trauma+2017+movie+review),Europa\Italien Spanien,,,
Tulpa: Demon of Desire,2012,Federico Zampaglione,Italien,Thriller/Mysterium,84 min,Claudia Gerini,-,-,-,[Recension](https://www.google.com/search?q=Tulpa+Demon+of+Desire+review),Europa\Italien Spanien,,,
All the Colors of the Dark (Tutti i colori del buio),1972,Sergio Martino,Italien/Spanien,Mysterium/Thriller,95 min,Edwige Fenech,-,Bruno Nicolai,-,[Recension](https://www.google.com/search?q=All+the+Colors+of+the+Dark+review),Europa\Italien Spanien,,,
Vampire in Venice (Nosferatu a Venezia),1988,Augusto Caminito,Italien,Skräck,97 min,Klaus Kinski,-,Luigi Ceccarelli,-,[Recension](https://www.google.com/search?q=Vampire+in+Venice+1988+review),Europa\Italien Spanien,,,
Voices from Beyond (Voci dal profondo),1991,Lucio Fulci,Italien,Skräck,91 min,Duilio Del Prete,-,Stelvio Cipriani,-,[Recension](https://www.google.com/search?q=Voices+from+Beyond+Fulci+review),Europa\Italien Spanien,,,
What Have You Done to Solange?,1972,Massimo Dallamano,Italien/Västtyskland,Mysterium/Thriller,103 min,Fabio Testi,-,Ennio Morricone,-,[Recension](https://www.google.com/search?q=What+Have+You+Done+To+Solange+review),Europa\Italien Spanien,,,
When Evil Lurks,2023,Demián Rugna,Argentina,Skräck,110 min,Ezequiel Rodríguez,-,-,-,[Recension](https://www.google.com/search?q=When+Evil+Lurks+2023+review),Europa\Italien Spanien,,,
Who Can Kill a Child?,1976,Narciso Ibáñez Serrador,Spanien,Skräck/Thriller,112 min,Lewis Fiander,-,Waldo de los Ríos,-,[Recension](https://www.google.com/search?q=Who+Can+Kill+A+Child+review),Europa\Italien Spanien,,,
Zombie 2 (Zombi 2),1979,Lucio Fulci,Italien,Skräck,91 min,Tisa Farrow,Fabrizio De Angelis,Fabio Frizzi,Giannetto De Rossi,[Recension](https://www.google.com/search?q=Zombi+2+Fulci+review),Europa\Italien Spanien,,,
Zombie Holocaust,1980,Marino Girolami,Italien,Skräck,84 min,Ian McCulloch,-,Nico Fidenco,-,[Recension](https://www.google.com/search?q=Zombie+Holocaust+1980+review),Europa\Italien Spanien,,,
Lamb,2021,Valdimar Jóhannsson,Island,Drama/Skräck,106 min,Noomi Rapace,Hrönn Kristinsdóttir,Þórarinn Guðnason,-,[Recension](https://www.google.com/search?q=Lamb+2021+movie+review),Europa\Skandinavien,,,
Låt den rätte komma in (Let the Right One In),2008,Tomas Alfredson,Sverige,Skräck/Drama,115 min,Kåre Hedebrant,John Nordling,Johan Söderqvist,-,[Recension](https://www.google.com/search?q=Let+The+Right+One+In+2008+review),Europa\Skandinavien,,,
The Ordinaries,2022,Sophie Linnenbaum,Tyskland,Drama/Sci-Fi,120 min,Fine Sendel,-,-,-,[Recension](https://www.google.com/search?q=The+Ordinaries+2022+review),Europa\Skandinavien,,,
The Ugly Stepsister (Tre nøtter til Askepott),2025,(Nyversion),Norge,Fantasy,-,-,-,-,-,[Recension](https://www.google.com/search?q=The+Ugly+Stepsister+2025+movie),Europa\Skandinavien,,,
Angst,1983,Gerald Kargl,Österrike,Skräck/Thriller,87 min,Erwin Leder,Gerald Kargl,Klaus Schulze,-,[Recension](https://www.google.com/search?q=Angst+1983+movie+review),Europa\Tyskland,,,
The Northerners (De Noorderlingen),1992,Alex van Warmerdam,Nederländerna,Komedi/Drama,107 min,Leonard Lucieer,-,Vincent van Warmerdam,-,[Recension](https://www.google.com/search?q=De+Noorderlingen+1992+review),Europa\Tyskland,,,
Hagazussa,2017,Lukas Feigelfeld,Tyskland/Österrike,Skräck/Drama,102 min,Aleksandra Cwen,-,-,-,[Recension](https://www.google.com/search?q=Hagazussa+2017+review),Europa\Tyskland,,,
Mark of the Devil,1970,Michael Armstrong,Västtyskland,Skräck/Drama,96 min,Herbert Lom,Adrian Hoven,Don Banks,-,[Recension](https://www.google.com/search?q=Mark+of+the+Devil+1970+review),Europa\Tyskland,,,
Mark of the Devil Part II,1973,Adrian Hoven,Västtyskland,Skräck,90 min,Erika Blanc,Adrian Hoven,Don Banks,-,[Recension](https://www.google.com/search?q=Mark+of+the+Devil+Part+II+review),Europa\Tyskland,,,
Nosferatu the Vampyre,1979,Werner Herzog,Västtyskland/Frankrike,Skräck,107 min,Klaus Kinski,Werner Herzog,Popol Vuh,-,[Recension](https://www.google.com/search?q=Nosferatu+the+Vampyre+1979+review),Europa\Tyskland,,,
1978,2024,(Oberoende),Europa,Skräck,-,-,-,-,-,[Recension](https://www.google.com/search?q=1978+2024+movie+review),Europa\Övrigt,,,
Baskin,2015,Can Evrenol,Turkiet,Skräck/Fantasy,97 min,Gorkem Kasal,Can Evrenol,Ulas Pakkan,-,[Recension](https://www.google.com/search?q=Baskin+2015+movie+review),Europa\Övrigt,,,
The Devil (Diabel),1972,Andrzej Żuławski,Polen,Skräck/Historia,119 min,Wojciech Pszoniak,-,Andrzej Korzynski,-,[Recension](https://www.google.com/search?q=The+Devil+Diabel+1972+review),Europa\Övrigt,,,
November,2017,Rainer Sarnet,Estland/Polen/Nederländerna,Fantasy/Skräck,115 min,Rea Lest,Katrin Kissa,Jacaszek,-,[Recension](https://www.google.com/search?q=November+2017+movie+review),Europa\Övrigt,,,
Possession,1981,Andrzej Żuławski,Frankrike/Västtyskland,Skräck/Drama,124 min,Isabelle Adjani,Marie-Laure Reyre,Andrzej Korzyński,Carlo Rambaldi,[Recension](https://www.google.com/search?q=Possession+1981+review),Europa\Övrigt,,,
Terrified (Aterrados),2017,Demián Rugna,Argentina,Skräck,87 min,Maximiliano Ghione,-,-,-,[Recension](https://www.google.com/search?q=Terrified+Aterrados+review),Europa\Övrigt,,,
The Treatment,2014,Hans Herbots,Belgien,Thriller/Krim,131 min,Geert Van Rampelberg,-,-,-,[Recension](https://www.google.com/search?q=The+Treatment+2014+review),Europa\Övrigt,,,
Viy,1967,Konstantin Yershov,Sovjetunionen,Skräck/Fantasy,77 min,Leonid Kuravlyov,-,Karen Khachaturian,-,[Recension](https://www.google.com/search?q=Viy+1967+movie+review),Europa\Övrigt,,,
Beneath the Valley of the Ultra-Vixens,1979,Russ Meyer,USA,Komedi/Exploitation,93 min,Francesca Natividad,Russ Meyer,Russ Meyer,-,[Recension](https://www.google.com/search?q=Beneath+the+Valley+of+the+Ultra-Vixens+review),Explotaition 18+\AA Tinto Brass and Russ Meyer,,,
Beyond the Valley of the Dolls,1970,Russ Meyer,USA,Komedi/Drama,109 min,Dolly Read,Russ Meyer,Stu Phillips,-,[Recension](https://www.google.com/search?q=Beyond+the+Valley+of+the+Dolls+review),Explotaition 18+\AA Tinto Brass and Russ Meyer,,,
Black Angel (Senso '45),2002,Tinto Brass,Italien,Drama/Erotik,128 min,Anna Galiena,Tinto Brass,Ennio Morricone,-,[Recension](https://www.google.com/search?q=Black+Angel+Senso+45+review),Explotaition 18+\AA Tinto Brass and Russ Meyer,,,
Capriccio,1987,Tinto Brass,Italien,Erotik/Drama,98 min,Nicola Warren,Tinto Brass,Riz Ortolani,-,[Recension](https://www.google.com/search?q=Capriccio+1987+movie+review),Explotaition 18+\AA Tinto Brass and Russ Meyer,,,
